+-----+-----------+--------+-------+----------+---------------+--------------+---------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
| Num |    Team   | Spread |  O/U  | Opponent | American Odds | Implied Prob | Decimal |  Vig   | Model Chance | Push Chance | Bet Percent | Bet Amount | Expected Value | Expected Return | Expected Profit | To Win |
+-----+-----------+--------+-------+----------+---------------+--------------+---------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
|  1  |   Lions   |   --   | o56.5 | Vikings  |      -110     |   52.381%    |  1.91x  | 4.545% |   37.218%    |    0.000%   |    0.001%   |   $0.00    |     0.71x      |      $0.00      |      $0.00      | $0.00  |
|  2  |  Chargers | -13.5  |   --  | Raiders  |      -108     |   51.923%    |  1.93x  | 6.076% |   35.992%    |    0.000%   |    0.001%   |   $0.00    |     0.69x      |      $0.00      |      $0.00      | $0.00  |
|  3  |  Broncos  | -27.5  |   --  |  Chiefs  |      -115     |   53.488%    |  1.87x  | 6.331% |    0.931%    |    0.000%   |    0.001%   |   $0.00    |     0.02x      |      $0.00      |      $0.00      | $0.00  |
|  4  |    Jets   |  -5.5  |   --  | Dolphins |      -106     |   51.456%    |  1.94x  | 6.025% |   31.966%    |    0.000%   |    0.001%   |   $0.00    |     0.62x      |      $0.00      |      $0.00      | $0.00  |
|  5  |   Chiefs  |   --   | u40.5 | Broncos  |      -135     |   57.447%    |  1.74x  | 6.074% |   56.064%    |    0.000%   |    0.001%   |   $0.00    |     0.98x      |      $0.00      |      $0.00      | $0.00  |
|  6  | Cardinals |  -6.5  |   --  |  49ers   |      -114     |   53.271%    |  1.88x  | 6.140% |   33.235%    |    0.000%   |    0.001%   |   $0.00    |     0.62x      |      $0.00      |      $0.00      | $0.00  |
|  7  |  Broncos  |   --   | o40.5 |  Chiefs  |      +104     |   49.020%    |  2.04x  | 6.074% |   43.936%    |    0.000%   |    0.001%   |   $0.00    |      0.9x      |      $0.00      |      $0.00      | $0.00  |
|  8  | Cardinals |   --   | o50.5 |  49ers   |      -108     |   51.923%    |  1.93x  | 6.076% |   30.207%    |    0.000%   |    0.001%   |   $0.00    |     0.58x      |      $0.00      |      $0.00      | $0.00  |
|  9  |  Seahawks |  -7.5  |   --  |   Rams   |      -110     |   52.381%    |  1.91x  | 6.112% |   30.653%    |    0.000%   |    0.001%   |   $0.00    |     0.59x      |      $0.00      |      $0.00      | $0.00  |
|  10 |   Lions   |   --   |   --  | Vikings  |      -154     |   60.630%    |  1.65x  | 3.946% |   54.186%    |    0.000%   |    0.001%   |   $0.00    |     0.89x      |      $0.00      |      $0.00      | $0.00  |
|  11 |  Vikings  |  2.5   |   --  |  Lions   |      -102     |   50.495%    |  1.98x  | 4.799% |   41.867%    |    0.000%   |    0.000%   |   $0.00    |     0.83x      |      $0.00      |      $0.00      | $0.00  |
|  12 |  Raiders  |   --   | o46.5 | Chargers |      -100     |   50.000%    |   2.0x  | 6.122% |   24.847%    |    0.000%   |    0.000%   |   $0.00    |      0.5x      |      $0.00      |      $0.00      | $0.00  |
|  13 |    Jets   |   --   | o44.5 | Dolphins |      -120     |   54.545%    |  1.83x  | 6.076% |   28.500%    |    0.000%   |    0.000%   |   $0.00    |     0.52x      |      $0.00      |      $0.00      | $0.00  |
|  14 |    Jets   |   --   |   --  | Dolphins |      -294     |   74.619%    |  1.34x  | 5.544% |   32.549%    |    0.000%   |    0.001%   |   $0.00    |     0.44x      |      $0.00      |      $0.00      | $0.00  |
|  15 |    Rams   |   --   | o49.5 | Seahawks |      -108     |   51.923%    |  1.93x  | 6.076% |   23.240%    |    0.000%   |    0.000%   |   $0.00    |     0.45x      |      $0.00      |      $0.00      | $0.00  |
|  16 |  Chargers |   --   |   --  | Raiders  |     -3333     |   97.087%    |  1.03x  | 5.819% |   78.035%    |    0.000%   |    0.001%   |   $0.00    |      0.8x      |      $0.00      |      $0.00      | $0.00  |
|  17 |  Seahawks |   --   |   --  |   Rams   |      -588     |   85.465%    |  1.17x  | 5.182% |   43.578%    |    0.000%   |    0.000%   |   $0.00    |     0.51x      |      $0.00      |      $0.00      | $0.00  |
|  18 | Cardinals |   --   |   --  |  49ers   |      -435     |   81.308%    |  1.23x  | 5.391% |   52.386%    |    0.000%   |    0.000%   |   $0.00    |     0.64x      |      $0.00      |      $0.00      | $0.00  |
+-----+-----------+--------+-------+----------+---------------+--------------+---------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
