+-----+----------+--------+-------+-----------+---------------+--------------+---------+------------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
| Num |   Team   | Spread |  O/U  |  Opponent | American Odds | Implied Prob | Decimal |    Vig     | Model Chance | Push Chance | Bet Percent | Bet Amount | Expected Value | Expected Return | Expected Profit | To Win |
+-----+----------+--------+-------+-----------+---------------+--------------+---------+------------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
|  1  |  Chiefs  |   --   |   --  |  Broncos  |     +9900     |    1.000%    |  100.0x | -4900.000% |   83.198%    |    0.000%   |   37.954%   |   $0.33    |     83.2x      |      $27.62     |      $27.29     | $32.87 |
|  2  |  Chiefs  |  27.5  |   --  |  Broncos  |      -114     |   53.271%    |  1.88x  |   6.331%   |   99.069%    |    0.000%   |   91.253%   |   $9.13    |     1.86x      |      $16.97     |      $7.85      | $8.00  |
|  3  | Dolphins |   --   |   --  |    Jets   |      +220     |   31.250%    |   3.2x  |   5.544%   |   67.451%    |    0.000%   |   35.347%   |   $0.19    |     2.16x      |      $0.41      |      $0.22      | $0.42  |
|  4  |   Rams   |   --   |   --  |  Seahawks |      +400     |   20.000%    |   5.0x  |   5.182%   |   56.422%    |    0.000%   |   28.504%   |   $0.05    |     2.82x      |      $0.13      |      $0.08      | $0.18  |
|  5  | Seahawks |   --   | u49.5 |    Rams   |      -120     |   54.545%    |  1.83x  |   6.076%   |   76.760%    |    0.000%   |   34.461%   |   $0.12    |     1.41x      |      $0.17      |      $0.05      | $0.10  |
|  6  | Chargers |   --   | u46.5 |  Raiders  |      -130     |   56.522%    |  1.77x  |   6.122%   |   75.153%    |    0.000%   |   29.933%   |   $0.07    |     1.33x      |      $0.09      |      $0.02      | $0.05  |
|  7  | Broncos  |   --   |   --  |   Chiefs  |     +9900     |    1.000%    |  100.0x | -4900.000% |   16.802%    |    0.000%   |    5.986%   |   $0.00    |     16.8x      |      $0.02      |      $0.02      | $0.10  |
|  8  | Dolphins |   --   | u44.5 |    Jets   |      -108     |   51.923%    |  1.93x  |   6.076%   |   71.500%    |    0.000%   |   28.135%   |   $0.03    |     1.38x      |      $0.04      |      $0.01      | $0.03  |
|  9  |  49ers   |   --   | u50.5 | Cardinals |      -120     |   54.545%    |  1.83x  |   6.076%   |   69.793%    |    0.000%   |   23.001%   |   $0.02    |     1.28x      |      $0.02      |      $0.01      | $0.02  |
|  10 |   Rams   |  7.5   |   --  |  Seahawks |      -118     |   54.128%    |  1.85x  |   6.112%   |   69.347%    |    0.000%   |   22.726%   |   $0.01    |     1.28x      |      $0.02      |      $0.00      | $0.01  |
|  11 |  49ers   |   --   |   --  | Cardinals |      +310     |   24.390%    |   4.1x  |   5.391%   |   47.614%    |    0.000%   |   19.528%   |   $0.01    |     1.95x      |      $0.01      |      $0.01      | $0.02  |
|  12 | Dolphins |  5.5   |   --  |    Jets   |      -122     |   54.955%    |  1.82x  |   6.025%   |   68.034%    |    0.000%   |   19.797%   |   $0.01    |     1.24x      |      $0.01      |      $0.00      | $0.01  |
|  13 | Raiders  |   --   |   --  |  Chargers |     +1000     |    9.091%    |  11.0x  |   5.819%   |   21.965%    |    0.000%   |    8.284%   |   $0.00    |     2.42x      |      $0.00      |      $0.00      | $0.02  |
|  14 |  49ers   |  6.5   |   --  | Cardinals |      -114     |   53.271%    |  1.88x  |   6.140%   |   66.765%    |    0.000%   |   19.645%   |   $0.01    |     1.25x      |      $0.01      |      $0.00      | $0.01  |
|  15 | Vikings  |   --   | u56.5 |   Lions   |      -110     |   52.381%    |  1.91x  |   4.545%   |   62.782%    |    0.000%   |   14.732%   |   $0.00    |      1.2x      |      $0.00      |      $0.00      | $0.00  |
|  16 | Raiders  |  13.5  |   --  |  Chargers |      -120     |   54.545%    |  1.83x  |   6.076%   |   64.008%    |    0.000%   |   14.058%   |   $0.00    |     1.17x      |      $0.00      |      $0.00      | $0.00  |
|  17 |  Lions   |  -2.5  |   --  |  Vikings  |      -120     |   54.545%    |  1.83x  |   4.799%   |   58.133%    |    0.000%   |    5.278%   |   $0.00    |     1.07x      |      $0.00      |      $0.00      | $0.00  |
|  18 | Vikings  |   --   |   --  |   Lions   |      +130     |   43.478%    |   2.3x  |   3.946%   |   45.814%    |    0.000%   |    2.750%   |   $0.00    |     1.05x      |      $0.00      |      $0.00      | $0.00  |
+-----+----------+--------+-------+-----------+---------------+--------------+---------+------------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
