Rankings
+------+------------+-------------+-------------+-------+--------------+----------+------------------+-----------------+--------------+----------------+---------------+-----------------+---------------+
| Rank |    Name    |    Record   | Bayes Win % | Score | Proj. Record | Adj. PPG | Adj. PPG Allowed | Adj. Point Diff | Win Division | Make Wild Card | Make Playoffs | First Round Bye | Win Superbowl |
+------+------------+-------------+-------------+-------+--------------+----------+------------------+-----------------+--------------+----------------+---------------+-----------------+---------------+
|  1   |   Lions    | 15 -  2 - 0 |    87.6%    |  97.5 | 15 -  2 - 0  |   34.3   |       18.8       |       15.5      |    100.0%    |      0.0%      |     100.0%    |      100.0%     |     36.7%     |
|  2   |   Chiefs   | 15 -  2 - 0 |    87.6%    |  96.7 | 15 -  2 - 0  |   25.0   |       20.2       |        4.8      |    100.0%    |      0.0%      |     100.0%    |      100.0%     |      5.5%     |
|  3   |  Vikings   | 14 -  3 - 0 |    81.6%    |  93.2 | 14 -  3 - 0  |   25.0   |       18.4       |        6.6      |     0.0%     |     100.0%     |     100.0%    |       0.0%      |      4.6%     |
|  4   |   Eagles   | 14 -  3 - 0 |    81.6%    |  92.2 | 14 -  3 - 0  |   25.9   |       17.9       |        8.0      |    100.0%    |      0.0%      |     100.0%    |       0.0%      |      5.6%     |
|  5   |   Bills    | 13 -  4 - 0 |    75.7%    |  87.2 | 13 -  4 - 0  |   32.1   |       22.2       |        9.9      |    100.0%    |      0.0%      |     100.0%    |       0.0%      |      5.8%     |
|  6   |   Ravens   | 12 -  5 - 0 |    69.9%    |  85.9 | 12 -  5 - 0  |   31.4   |       19.6       |       11.8      |    100.0%    |      0.0%      |     100.0%    |       0.0%      |     14.9%     |
|  7   |  Packers   | 11 -  6 - 0 |    64.2%    |  79.8 | 11 -  6 - 0  |   29.4   |       19.3       |       10.1      |     0.0%     |     100.0%     |     100.0%    |       0.0%      |      6.9%     |
|  8   | Commanders | 12 -  5 - 0 |    69.9%    |  76.4 | 12 -  5 - 0  |   29.3   |       25.0       |        4.3      |     0.0%     |     100.0%     |     100.0%    |       0.0%      |      1.5%     |
|  9   |  Chargers  | 11 -  6 - 0 |    64.2%    |  71.5 | 11 -  6 - 0  |   23.5   |       17.8       |        5.7      |     0.0%     |     100.0%     |     100.0%    |       0.0%      |      5.1%     |
|  10  |    Rams    | 10 -  7 - 0 |    58.5%    |  67.6 | 10 -  7 - 0  |   23.8   |       21.9       |        1.9      |    100.0%    |      0.0%      |     100.0%    |       0.0%      |      0.9%     |
