Team,Division,Primary Colors,Secondary Colors,Games Played,Wins,Losses,Ties,Preseason BT,BT,BT Var,BT Pct,Bayes BT,Tier,Win Pct,Bayes Win Pct,Avg Points,Avg Points Allowed,Bayes Avg Points,Bayes Avg Points Allowed,Adjusted Points,Adjusted Points Allowed,Adjusted Point Diff,Bayes Adjusted Points,Bayes Adjusted Points Allowed,Bayes Adjusted Point Diff,Drives Model Good,Drives Intercept,Off Drives Coef,Def Drives Coef,Off Coef,Def Coef,Completeness,Win Division,Make Wild Card,Make Playoffs,First Round Bye,Win Superbowl
Lions,NFC North,#0076B6,#B0B7BC,17.0,15.0,2.0,0.0,0.8285106932843698,1.6582520807572356,0.3174327115024751,0.9746025489711441,1.6054948231852912,8,0.8823529411764706,0.8761484228113533,33.176470588235304,20.11764705882353,30.33157941434122,20.65431110326497,34.303925219476895,18.764492130065058,15.539433089411837,34.303925219476895,18.764492130065058,15.539433089411837,True,10.141868512110728,0.19136682526680526,0.11347050901618583,0.44015159891330374,-0.16314181912070563,0.6032934180340094,1.0,0.0,1.0,1.0,0.36742405357664565
Chiefs,AFC West,#E31837,#FFB81C,17.0,15.0,2.0,0.0,0.9056675938512896,1.5463234802171781,0.31479644062213286,0.9665280625428712,1.505905760758776,8,0.8823529411764706,0.8761484228113533,22.647058823529413,19.176470588235293,22.578629732512834,19.61874285447268,25.046356443854467,20.196550900357817,4.84980554349665,25.046356443854467,20.196550900357817,4.84980554349665,True,10.141868512110728,-0.6649519556912742,-0.7022648734791933,0.1256201790119676,-0.08959634427559372,0.2152165232875613,1.0,0.0,1.0,1.0,0.054577498225081525
Vikings,NFC North,#4F2683,#FFC62F,17.0,14.0,3.0,0.0,0.1286405994359566,1.2963305708614143,0.30646994643131314,0.9318469896257906,1.2244919596001922,7,0.8235294117647058,0.8162268439521084,25.41176470588235,19.52941176470588,24.93191262648247,19.996587717057174,24.995102374766848,18.415116064285517,6.579986310481331,24.995102374766848,18.415116064285517,6.579986310481331,True,10.141868512110728,0.870485830177215,0.6856171521175576,0.12357171407028293,-0.18193633401600126,0.3055080480862842,0.0,1.0,1.0,0.0,0.04613721892593009
Eagles,NFC East,#004C54,#A5ACAF,17.0,14.0,3.0,0.0,0.9138303732461472,1.1833819111369897,0.29724934875907105,0.922206532223971,1.167267671187407,7,0.8235294117647058,0.8162268439521084,27.235294117647058,17.823529411764707,26.490052570178264,18.632952978198848,25.898225997378113,17.923785460444552,7.97444053693356,25.898225997378113,17.923785460444552,7.97444053693356,True,10.141868512110728,0.32003879368233445,-0.018305850126140055,0.15906628545322538,-0.20897955914610147,0.3680458445993269,1.0,0.0,1.0,0.0,0.05636649213698516
Bills,AFC East,#00338D,#C60C30,17.0,13.0,4.0,0.0,0.8515368755300063,0.9368564171713183,0.28994983667650087,0.8715390512742637,0.9318738115100348,7,0.7647058823529411,0.7573480185122187,30.88235294117647,21.647058823529413,28.8706315786078,21.7716319026686,32.14292833752825,22.232801612378577,9.91012672514967,32.14292833752825,22.232801612378577,9.91012672514967,True,10.141868512110728,-0.14184845469805896,-0.14488465267340955,0.37508428149527834,0.006460561885568532,0.3686237196097098,1.0,0.0,1.0,0.0,0.05793392840929877
Ravens,AFC North,#241773,#000000,17.0,12.0,5.0,0.0,0.7868255966240335,0.89098687764202,0.2675294341727963,0.8592811366017372,0.8853488315879515,7,0.7058823529411765,0.6993072593043994,30.470588235294116,21.235294117647058,29.23373200516698,21.42671977020945,31.426403954691107,19.62955106185658,11.796852892834526,31.426403954691107,19.62955106185658,11.796852892834526,True,10.141868512110728,0.0908002385087302,0.3361975475951964,0.35254024324413863,-0.11807204857206349,0.4706122918162021,1.0,0.0,1.0,0.0,0.14949214010975886
Packers,NFC North,#203731,#FFB612,17.0,11.0,6.0,0.0,0.6063981108881134,0.6897503562891101,0.270162900141187,0.7977452852848694,0.6851966773091577,6,0.6470588235294118,0.6419091246943642,27.058823529411764,19.88235294117647,26.539503486552654,20.32949008675358,29.353671451946393,19.274749894276226,10.078921557670167,29.353671451946393,19.274749894276226,10.078921557670167,True,10.141868512110728,0.20835608923617865,0.008325664945362354,0.28430944391355006,-0.1363122428851228,0.42062168679867284,0.0,1.0,1.0,0.0,0.06898904835605814
Commanders,NFC East,#5A1414,#FFB612,17.0,12.0,5.0,0.0,-0.2813723614551726,0.6415879793941364,0.2731839396388104,0.7637908344866964,0.5906323267507955,6,0.7058823529411765,0.6993072593043994,28.529411764705884,23.0,27.431957774481823,22.851396128147883,29.32145749908769,25.006324801863563,4.315132697224126,29.32145749908769,25.006324801863563,4.315132697224126,True,10.141868512110728,-0.08063900030519666,-0.12768164802210968,0.28321139925063005,0.12402059834894603,0.15919080090168403,0.0,1.0,1.0,0.0,0.01484641954437758
Chargers,AFC West,#0080C6,#FFC20E,17.0,11.0,6.0,0.0,0.0296370907775837,0.4930546623396813,0.26749465335603956,0.7154326531174889,0.46797386178081196,5,0.6470588235294118,0.6419091246943642,23.647058823529413,17.705882352941178,23.381264038371867,18.590121106810983,23.53580162855005,17.809584529847847,5.726217098702204,23.53580162855005,17.809584529847847,5.726217098702204,True,10.141868512110728,0.2956053121926998,0.25438658061359826,0.06341454880020034,-0.2153714174814426,0.2787859662816429,0.0,1.0,1.0,0.0,0.05115222608121031
Rams,NFC West,#003594,#FFA300,17.0,10.0,7.0,0.0,0.3434386227325484,0.3763957125024978,0.2596231655851248,0.6757348808784078,0.3746617555847292,5,0.5882352941176471,0.5849651532611503,21.58823529411765,22.705882352941178,21.674981641008475,22.569574087205726,23.848423718064975,21.9168019425992,1.931621775465775,23.848423718064975,21.9168019425992,1.931621775465775,True,10.141868512110728,-0.3454421686018207,-0.27758363590445545,0.0766099370677679,-0.007854631940087826,0.08446456900785573,1.0,0.0,1.0,0.0,0.00903357767207728
Seahawks,NFC West,#69BE28,#002244,17.0,10.0,7.0,0.0,0.0668844146924284,0.3622667048706131,0.2563441810515586,0.6635039831699405,0.3469119601006558,5,0.5882352941176471,0.5849651532611503,22.058823529411764,21.647058823529413,22.06988043736655,21.772701853270384,22.089628209976404,18.23111118663355,3.858517023342852,22.089628209976404,18.23111118663355,3.858517023342852,True,10.141868512110728,0.9708487950683983,1.3437839260348847,-1.9514368555318198e-17,-0.19197864602628956,0.19197864602628953,0.0,6.272671755909671e-16,6.272671755909671e-16,0.0,0.0
