team,week,points_scored,drives,location,boxscore_index
Ravens,1,20,10,Away,g1
Chiefs,1,27,10,Home,g1
Packers,1,29,11,Away,g2
Eagles,1,34,11,Home,g2
Steelers,1,18,10,Away,g3
Falcons,1,10,10,Home,g3
Cardinals,1,28,10,Away,g4
Bills,1,34,10,Home,g4
Titans,1,17,13,Away,g5
Bears,1,24,10,Home,g5
Patriots,1,16,10,Away,g6
Bengals,1,10,8,Home,g6
Texans,1,29,10,Away,g7
Colts,1,27,9,Home,g7
Jaguars,1,17,11,Away,g8
Dolphins,1,20,11,Home,g8
Panthers,1,10,13,Away,g9
Saints,1,47,11,Home,g9
Vikings,1,28,10,Away,g10
Giants,1,6,11,Home,g10
Raiders,1,10,13,Away,g11
Chargers,1,22,13,Home,g11
Broncos,1,20,15,Away,g12
Seahawks,1,26,15,Home,g12
Cowboys,1,33,14,Away,g13
Browns,1,17,14,Home,g13
Commanders,1,20,9,Away,g14
Buccaneers,1,37,9,Home,g14
Rams,1,20,10,Away,g15
Lions,1,26,11,Home,g15
Jets,1,19,10,Away,g16
49ers,1,32,10,Home,g16
Bills,2,31,10,Away,g17
Dolphins,2,10,10,Home,g17
Raiders,2,26,12,Away,g18
Ravens,2,23,12,Home,g18
Chargers,2,26,12,Away,g19
Panthers,2,3,11,Home,g19
Saints,2,44,10,Away,g20
Cowboys,2,19,10,Home,g20
Buccaneers,2,20,11,Away,g21
Lions,2,16,11,Home,g21
Colts,2,10,10,Away,g22
Packers,2,16,10,Home,g22
Browns,2,18,9,Away,g23
Jaguars,2,13,10,Home,g23
49ers,2,17,10,Away,g24
Vikings,2,23,11,Home,g24
Seahawks,2,23,12,Away,g25
Patriots,2,20,11,Home,g25
Jets,2,24,11,Away,g26
Titans,2,17,11,Home,g26
Giants,2,18,7,Away,g27
Commanders,2,21,8,Home,g27
Rams,2,10,10,Away,g28
Cardinals,2,41,9,Home,g28
Steelers,2,13,11,Away,g29
Broncos,2,6,11,Home,g29
Bengals,2,25,10,Away,g30
Chiefs,2,26,9,Home,g30
Bears,2,13,13,Away,g31
Texans,2,19,13,Home,g31
Falcons,2,22,9,Away,g32
Eagles,2,21,9,Home,g32
Patriots,3,3,9,Away,g33
Jets,3,24,8,Home,g33
Giants,3,21,14,Away,g34
Browns,3,15,14,Home,g34
Bears,3,16,12,Away,g35
Colts,3,21,12,Home,g35
Texans,3,7,11,Away,g36
Vikings,3,34,11,Home,g36
Eagles,3,15,10,Away,g37
Saints,3,12,10,Home,g37
Chargers,3,10,10,Away,g38
Steelers,3,20,10,Home,g38
Broncos,3,26,10,Away,g39
Buccaneers,3,7,11,Home,g39
Packers,3,30,10,Away,g40
Titans,3,14,11,Home,g40
Panthers,3,36,12,Away,g41
Raiders,3,22,12,Home,g41
Dolphins,3,3,12,Away,g42
Seahawks,3,24,12,Home,g42
Lions,3,20,11,Away,g43
Cardinals,3,13,11,Home,g43
Ravens,3,28,11,Away,g44
Cowboys,3,25,11,Home,g44
49ers,3,24,9,Away,g45
Rams,3,27,9,Home,g45
Chiefs,3,22,10,Away,g46
Falcons,3,17,10,Home,g46
Jaguars,3,10,10,Away,g47
Bills,3,47,10,Home,g47
Commanders,3,38,8,Away,g48
Bengals,3,33,7,Home,g48
Cowboys,4,20,9,Away,g49
Giants,4,15,9,Home,g49
Saints,4,24,10,Away,g50
Falcons,4,26,9,Home,g50
